fips,STATEFP,delta_STD_gen,delta_STD_gas
1001,01,0.123833101125408,0.120428681027564
1003,01,0.354269285992376,0.101537041192837
1005,01,0.00899941961767823,0.130112348729613
1007,01,0.111154434975275,0.71731935547589
1009,01,0.0216707540437097,0.186330581955225
1011,01,0.265002013731001,0.160351728385642
1013,01,-0.0770245596517171,1.01495231673052
1015,01,-0.0334616896741854,-0.118216853972919
1017,01,0.371804030248398,0.747704555403095
1019,01,0.336500830816401,0.0678821592895714
1021,01,0.161161036700609,0.306795744390335
1023,01,0.617586377110051,2.02306514586924
1025,01,0.367028086471676,-0.0820996468670336
1027,01,-0.154227689613149,-0.239448051948052
1029,01,-0.0309878798996765,0.00427616421729179
1031,01,0.276378867134503,0.0642637451942379
1033,01,0.0623265401613639,0.0110467586697524
1035,01,-0.273564825066471,-0.236349746235083
1037,01,-0.160600966098413,-0.282087250112087
1039,01,0.111771778270776,0.194369335998797
1041,01,-0.241309247142196,-0.19727486911575
1043,01,0.728090382265891,0.099992599846212
1045,01,0.551683068262774,0.36946272718016
1047,01,0.100525633080565,0.412960530556512
1049,01,-0.1079614276868,0.247092620324041
1051,01,-0.0434483924300746,0.0386296972686353
1053,01,0.0782096533030861,1.78351400627886
1055,01,-0.069037201606756,0.00230988711954864
1057,01,1.44862768472395,0.299679775411613
1059,01,0.0421439813525544,-0.23514606508367
1061,01,0.0764642227889212,-0.196092326427066
1063,01,-0.35021390734104,-0.00169802128648397
1065,01,0.0136377730731215,0.314454503909777
1067,01,-0.25565123743047,0.533272378628673
1069,01,1.43043444143562,0.46036624911505
1071,01,0.00418874269370037,0.163988567724116
1073,01,0.041576225124584,0.148896914220123
1075,01,1.40035407965381,0.50888490752886
1077,01,0.064271786103768,0.240327022325896
1079,01,-0.160473816310364,0.177852208245083
1081,01,-0.0197844756455576,0.0555912692012466
1083,01,0.154152316915162,-0.0797373908227732
1085,01,0.0622382918193079,0.0608759047235011
1087,01,-0.0401409389622601,-0.0376654724338386
1089,01,0.0548981026585741,0.0525554166633981
1091,01,-0.124959330711963,-0.0560930182478223
1093,01,0.143405849425197,-0.21368106637941
1095,01,0.0534977179762452,-0.158052506198492
1097,01,0.178993575051224,0.182975228336867
1099,01,-0.00497726437662349,0.603807338064827
1101,01,0.0122943929691379,0.5079230710606
1103,01,-0.0357063464098119,0.26176341726343
1105,01,0.0638153025722344,0.61747812981226
1107,01,-0.191071961825768,-0.157184230020185
1109,01,-0.170494852083276,0.00256766272772702
1111,01,0.191457934996266,0.425163543090352
1113,01,0.160125451983335,0.182883158521835
1115,01,0.0927165336400207,0.317987382565537
1117,01,0.00810219604789053,0.0728938019547432
1119,01,0.0992606637833702,-0.335400420768507
1121,01,0.203632031919638,0.0689549862572381
1123,01,-0.0319536719700489,0.417920519510457
1125,01,0.0679097237495492,-0.0126485005590693
1127,01,-0.0307026436720273,0.133338841312186
1129,01,-0.373136997548753,1.19538008821161
1131,01,0.159781893875961,-0.0425936912884406
1133,01,0.504014994857283,0.544177533913853
2016,02,-0.110957324106113,NA
2020,02,0.60979850667517,0.46918553182627
2090,02,0.143421539373139,-0.092818418106533
2110,02,0.979330245043135,0.149367577483828
2122,02,-0.0130296664905355,-0.12097512654498
2130,02,-0.11543635462195,-0.297329376854599
2150,02,-0.141422951094086,NA
2170,02,0.00531097086413781,0.0442638059037748
2180,02,-0.39961759082218,NA
2185,02,-0.0864055299539171,NA
2220,02,0.0162258315581718,NA
2261,02,0.0321916727841254,NA
4001,04,0.277516923873186,-0.0872333596575953
4003,04,0.186366926426325,0.194978583650466
4005,04,0.533368154237184,0.106740639983397
4007,04,0.137846792701502,0.0166936645694305
4009,04,0.463953082695809,-0.266763300791458
4011,04,-0.183866446684156,-0.363410777005797
4012,04,0.080815816172876,-0.0309031922978585
4013,04,0.232594337609488,0.153558033011972
4015,04,0.189385537431015,0.109043659649288
4017,04,0.0709678120980324,-0.0565110393744655
4019,04,0.279812346688467,0.103378686085724
4021,04,0.16368994601299,-0.0340053928838182
4023,04,0.282602322068323,-0.00126230718872797
4025,04,0.150101010997154,0.119527885569214
4027,04,0.809362894352268,0.172252462431487
5001,05,0.336299504678847,NA
5003,05,0.680217182619109,-0.558890571006961
5005,05,0.217670969004048,-0.25554300875163
5007,05,0.72062002793908,0.104961793563281
5009,05,1.03731772446367,-0.302681349220046
5011,05,-0.647141313974234,NA
5013,05,-0.946785033604173,-0.668981481481482
5015,05,0.121323063500639,-0.197496206038851
5017,05,0.035749859575664,-0.436467200801202
5019,05,0.734249952673126,-0.316034708768357
5021,05,-0.0853401039396398,NA
5023,05,0.253695466254147,0.0316667686101642
5025,05,1.08452858203415,NA
5027,05,0.0393133366200387,NA
5029,05,-0.153375851626629,0.127019188875814
5031,05,0.134893752388296,0.188982130889521
5033,05,0.0271303602591769,0.193915248986886
5035,05,-0.0381362679327079,2.62410119170839
5037,05,-0.250983137885338,0.41375476437741
5039,05,-0.321941393360006,96.0956719817771
5041,05,4.56546899924917,0.268171618956959
5043,05,0.538210688897174,-0.601878013813484
5045,05,0.871341523743315,0.533456291440391
5047,05,0.283610137888044,0.247833992940421
5049,05,-0.33120377541153,NA
5051,05,-0.0578903572699762,0.472466630704806
5053,05,-0.286454397162272,-0.137011302129507
5055,05,-0.212289953753711,-0.0167714316507388
5057,05,1.18944563611961,0.258154637348449
5059,05,-0.145383522854785,0.0010520939723783
5061,05,1.15827502572687,-0.750728117565975
5063,05,0.0927583216705196,0.292639421355831
5065,05,0.234265620735378,0.661632209803683
5067,05,0.134717000384366,-0.804601899196494
5069,05,1.29528775834814,0.112506040332622
5071,05,-0.306509933785156,0.702174007124072
5073,05,2.78045393243458,-1
5075,05,-0.44575744639451,-0.163282806701287
5077,05,0.102020385674931,NA
5079,05,-0.602395719081202,-1
5081,05,4.29323019814154,0.360870481445872
5083,05,0.525003476677161,0.112906901779463
5085,05,0.935976754224551,0.932992894130296
5087,05,0.107647357190223,1.2311282190487
5089,05,0.0417899174832795,0.339272876475736
5091,05,0.742773727048013,-0.198614114412712
5093,05,-0.135973122002655,-0.11967989511824
5095,05,-0.292400912201359,0.568243274140922
5097,05,-0.766217702431859,0.715796906012307
5099,05,-0.710758565674384,-0.0733926951888965
5101,05,5.83121468926554,NA
5103,05,0.152327669597671,5.06844032410522
5105,05,0.200471865596843,NA
5107,05,1.31182835008495,-0.0186421207077441
5109,05,-0.502452528629262,-0.527996046122998
5111,05,0.0877497807675763,0.397353507832967
5113,05,0.399497948765371,-0.114710680349709
5115,05,0.189751446290327,4.00296106879042
5117,05,-1,-0.593513860208066
5119,05,1.55463265111389,0.0208943333677148
5121,05,0.341282860004188,0.0728572878113103
5123,05,0.260038278753502,0.261039604725918
5125,05,0.205418073635777,0.128731767857566
5127,05,0.528191599359983,-0.0513996910686261
5129,05,-0.105095276103784,2.02166828744982
5131,05,-0.0859761221251032,0.599173025284369
5133,05,0.0841468738683854,1.28482493190076
5135,05,1.48643000405036,-0.112225459435231
5137,05,-0.178691539754122,0.0905499763009292
5139,05,0.404759266036404,0.681528711265453
5141,05,0.526178000541314,1.37409862343845
5143,05,0.050185994185997,0.581103561795423
5145,05,0.195053827209673,0.385142591596955
5147,05,1.84120465434634,8.21227364185111
5149,05,-0.421996426832761,-0.308226667524281
6001,06,0.4129510101368,0.112818471896271
6005,06,0.233225717698273,-0.13445174378884
6007,06,0.246427512413757,-0.063948285527825
6009,06,0.0901283509148363,0.609314292713051
6011,06,-0.444385515026504,-0.0671527298958717
6013,06,0.332559145127377,0.159870476835052
6015,06,0.475701617526667,-0.338314205756917
6017,06,0.346577042536426,0.085107578485971
6019,06,0.476072945826041,0.237703768865638
6021,06,0.228293353115116,0.597744733325677
6023,06,0.210840541937985,0.440163743407202
6025,06,0.247417551633654,0.231374877564591
6027,06,0.44112825099502,0.6566989849937
6029,06,0.0937926032327209,0.126631804666683
6031,06,0.214538077748785,-0.0145763909326256
6033,06,0.356141321600001,-0.0106710485789641
6035,06,0.556119127272349,-0.171487831482259
6037,06,0.385686479564155,0.14850488140957
6039,06,0.305259369978984,0.196522999681171
6041,06,0.406436154461762,0.101072741244683
6043,06,-0.210106126727002,-0.00518818076926997
6045,06,0.160849013025456,1.71787592090313
6047,06,0.0729534911009553,0.0648813721569802
6049,06,-0.064183604901671,-0.0960061443932412
6051,06,0.450218855466938,0.848268439752242
6053,06,1.35915565686348,0.292746950537459
6055,06,3.75022907839902,0.110873322118336
6057,06,0.257141589637643,0.161399130067918
6059,06,0.304376029036838,0.213712974858875
6061,06,0.584360162039818,0.347002091600408
6063,06,0.666460586465658,-0.0640012070750888
6065,06,0.353968973780015,0.117403952345111
6067,06,0.351934524168501,0.130308483854581
6069,06,0.165164254910716,0.758016676343402
6071,06,0.427761579942793,0.139430351910853
6073,06,18.8120216728854,0.0591161181124164
6075,06,0.273526649279271,0.0196477728822686
6077,06,0.144139144436059,0.150074424489695
6079,06,0.224178319592871,0.0786010016832551
6081,06,0.205119515512545,-0.00384908237975125
6083,06,0.733024498116405,0.176872309839328
6085,06,0.366956712107818,0.335858753135493
6087,06,0.467722805542705,0.1100569975779
6089,06,0.754615902973221,0.763374438488103
6093,06,0.777049392992577,0.507926826840463
6095,06,0.180466263558012,0.168228536879307
6097,06,0.335923022887637,0.109643710928763
6099,06,0.181617914378519,-0.02327006524229
6101,06,0.0131440447249523,0.00994709320334372
6103,06,-0.00765136065045005,1.01060663319465
6105,06,-0.127030317845311,-0.509531948461741
6107,06,0.280278630542052,0.236057083264142
6109,06,0.0437640704483059,3.12359498794711
6111,06,0.507823033021505,0.297425211919982
6113,06,0.162852235781441,0.165024915190569
6115,06,0.118001783505502,0.886689179440453
8001,08,0.272209312143455,0.0749624705895261
8003,08,-0.0438866643329244,0.300707829653924
8005,08,1.25517660052202,-0.0727330604777212
8007,08,1.33412631426127,-0.116021644610899
8011,08,-0.92814596648972,0.819788898938474
8013,08,0.303553184946994,-0.138215190742143
8014,08,0.388135981314303,0.0084152087866846
8015,08,0.442978300621644,0.0357257659529071
8017,08,-1,NA
8019,08,0.153254370408855,0.512813319263821
8021,08,0.603076556460626,-0.63179527976664
8023,08,0.0707557971379669,0.0174792256119924
8025,08,-0.417383099182218,0.956200662083015
8027,08,0.213939485817809,-0.277149058212542
8029,08,0.57185286028136,0.138757206229048
8031,08,0.11223604130245,0.146032965694062
8033,08,-0.142362157276288,0.67454978019212
8035,08,0.969696426466819,0.194053799966339
8037,08,0.231202494345618,0.225110950835584
8039,08,0.0505217344145997,-0.0123771121642385
8041,08,0.627804964732384,0.0475929297280271
8043,08,3.74590451308409,-0.117964949349337
8045,08,1.08243080861499,0.081393780914976
8047,08,-0.365875912408759,-0.3923423919023
8049,08,0.155247367755979,0.475627669251008
8051,08,-0.0826756454817423,-0.295260051340287
8055,08,0.0494361408281218,0.293065737103468
8057,08,0.518605224248398,-0.120427908440179
8059,08,0.185934223581763,0.125538838810408
8063,08,0.605755236300498,-0.528208808420983
8065,08,-0.155555622017073,0.160770957504451
8067,08,2.37429802548513,0.128484422999381
8069,08,0.0642320917557256,0.1228648293571
8071,08,1.97488535877928,-0.0572724998887876
8073,08,-0.326646583075829,-0.178533163305663
8075,08,0.21990446490683,NA
8077,08,0.343404122922729,0.53370343474781
8081,08,-0.253311222271459,-0.0414648334778716
8083,08,0.0596217067173089,-0.356814552076274
8085,08,-0.0133532556469559,0.323156727777135
8087,08,0.103770174909232,-0.173221973542711
8089,08,0.133394344488905,-0.287355796289879
8091,08,0.633726559613492,0.385719171290816
8093,08,-0.118970963767068,0.268932259952612
8095,08,5.48610394523213,NA
8097,08,-0.33326713749336,0.381483177218676
8099,08,0.0543014204673947,-0.0724233207412182
8101,08,2.87880185327464,0.0536675156935686
8103,08,0.285559513981632,-0.0767217031869293
8105,08,0.0175587846601446,0.0332242066510367
8107,08,2.97442865271965,0.0581885487599008
8109,08,1.04472069744914,0.132370635906763
8113,08,0.0135018112346619,-0.0100482871728674
8115,08,-0.0151277645388661,0.617072291381599
8117,08,0.264009705567694,0.0232681709195231
8119,08,0.285087662660262,0.171968335963024
8121,08,-1,NA
8123,08,0.0810447663524493,0.213358959676266
8125,08,1.91911313179195,NA
9001,09,0.781763682872277,0.336883380289878
9003,09,0.160264986517237,0.0264988581370659
9005,09,0.28142165317163,0.207347425675796
9007,09,0.0564092640326325,0.318363162471724
9009,09,0.108425393847156,0.225803578600855
9011,09,0.386391819424085,0.157589535845671
9013,09,0.241487119395593,0.0838829348340153
9015,09,0.0283251857299843,0.614793768015444
10001,10,-0.00272203356877847,0.109936165086842
10003,10,0.299741618562569,0.13049940300063
10005,10,0.214767733527745,0.127799993469761
11001,11,0.819659329542865,0.896035104062595
12001,12,0.111275798920215,0.317501538876121
12003,12,0.0258053747851241,-0.467324274889247
12005,12,119.351007728195,0.0564635486950182
12007,12,0.473789429090331,-0.0394711743756668
12009,12,0.227622613959085,0.263569121641291
12011,12,0.979584095225456,0.0928833123278241
12013,12,1.59246828055932,-0.0318534887843514
12015,12,-0.0337618660655506,-0.0162616068762296
12017,12,0.0680718317713869,0.0913264168891322
12019,12,0.783966634044015,0.0390633573615302
12021,12,0.157969071088651,0.11943269639126
12023,12,0.0680573770468343,0.0605050426296277
12027,12,-0.00949752417238614,-0.0963481331912164
12029,12,0.00359521863497776,0.198830122086416
12031,12,0.10668951452483,0.308520518181894
12033,12,0.933214854856596,-0.00559229850067109
12035,12,0.105764777298777,0.119920246842671
12037,12,0.691879423908264,0.392123721728707
12039,12,0.856112137707764,-0.0547822588494191
12041,12,0.0829090960848114,-0.0217735395757784
12043,12,-0.150529282103602,0.0650452029801584
12045,12,-0.184057309991176,-0.249582992626881
12047,12,0.111045756447897,-0.179527850947854
12049,12,0.0444545341420422,-0.0797961953320571
12051,12,0.309135949477316,0.684130170668982
12053,12,0.00559063843386327,0.0355905832316186
12055,12,2.29608116520786,0.275183100027627
12057,12,0.179349603458404,0.156628154744507
12059,12,0.338480195693483,0.0480342738280071
12061,12,0.0685044186518794,0.0703570593224349
12063,12,0.35654652008307,0.278226740749194
12065,12,0.348509518029301,-0.115298603899295
12067,12,0.467839578721718,-0.421646667458715
12069,12,0.182132395980715,-0.0764687588736121
12071,12,0.0733031737309977,0.236936125937773
12073,12,0.14388550657588,1.39214777865592
12075,12,0.0736917596313284,3.57589946696646
12077,12,0.0858976830163136,2.13118922291804
12079,12,0.120660103957965,0.975279634513079
12081,12,0.277526577318793,-0.0738429760153586
12083,12,0.27294902752704,0.398327287879995
12085,12,0.132503481207289,0.130250764180838
12086,12,0.206039565654138,0.103879517489865
12087,12,0.0801388339160825,0.0316388278090949
12089,12,0.056764998679132,0.575066473551731
12091,12,0.0715826870771118,-0.0701896929654591
12093,12,0.280756028024866,-0.374930228020869
12095,12,0.332687873457794,0.0981815951329814
12097,12,0.222418433567867,0.655982302281642
12099,12,0.218257561177748,0.357970152960638
12101,12,0.437450577021769,0.152472642116785
12103,12,0.133084158222698,0.0685091742403208
12105,12,0.136559667840342,0.195617406433485
12107,12,0.620811660683523,1.37951898096
12109,12,0.211814291771527,0.223899609068191
12111,12,-0.0132617624264767,0.181306359349285
12113,12,0.102204770299397,0.00266393182232993
12115,12,0.123697298549539,0.0602188621000509
12117,12,0.264800198664608,0.265827247430565
12119,12,0.239378139092608,-0.0275082124101127
12121,12,0.319908827991115,0.0106818361791153
12123,12,0.240801729761565,-0.227335164307382
12125,12,0.334638606406077,0.0709317934027148
12127,12,1.30259650358538,0.361300379474284
12129,12,0.221906241382039,-0.0403626915301263
12131,12,0.163024649624397,0.255972839247155
12133,12,0.393344814523614,0.139592987223733
13001,13,-0.131135688860905,-0.115689993476449
13003,13,0.247094807839937,-1
13005,13,0.762644088162978,-0.0644601462749474
13007,13,-0.607245471580262,-0.227997102499094
13009,13,0.369782442572921,0.123530207310809
13011,13,0.00082257725394196,-0.053505666883525
13013,13,0.150448115321301,0.131943310053291
13015,13,0.0586187482041326,0.151596749860511
13017,13,0.167599674886752,1.66755796496473
13019,13,0.46933525122615,-0.104232491834098
13021,13,0.531372468756404,0.292262804822776
13023,13,0.511805388270512,-0.54890594978194
13025,13,0.719569591653827,6.22222222222223
13027,13,0.891376340800888,0.531948564265822
13029,13,1.49873773765913,0.205693650759335
13031,13,0.0509712563588011,-0.0345532196920842
13033,13,0.128293708460004,0.300642653511257
