day,month,top_category,spending_ptpd,year,date_smart,wday
1,2,Clothing Stores,841413.99,2022,2/1/22,Tue
2,2,Clothing Stores,809123.99,2022,2/2/22,Wed
3,2,Clothing Stores,784713.5,2022,2/3/22,Thu
4,2,Clothing Stores,937530.92,2022,2/4/22,Fri
5,2,Clothing Stores,910916.65,2022,2/5/22,Sat
6,2,Clothing Stores,798822.91,2022,2/6/22,Sun
7,2,Clothing Stores,1369814.32,2022,2/7/22,Mon
8,2,Clothing Stores,887528.42,2022,2/8/22,Tue
9,2,Clothing Stores,908642.92,2022,2/9/22,Wed
10,2,Clothing Stores,985460.96,2022,2/10/22,Thu
11,2,Clothing Stores,1139376.27,2022,2/11/22,Fri
12,2,Clothing Stores,953666.48,2022,2/12/22,Sat
13,2,Clothing Stores,793596.78,2022,2/13/22,Sun
14,2,Clothing Stores,1459618.67,2022,2/14/22,Mon
15,2,Clothing Stores,960538.39,2022,2/15/22,Tue
16,2,Clothing Stores,952589.08,2022,2/16/22,Wed
17,2,Clothing Stores,1007946.46,2022,2/17/22,Thu
18,2,Clothing Stores,1189175.96,2022,2/18/22,Fri
19,2,Clothing Stores,1024408.56,2022,2/19/22,Sat
20,2,Clothing Stores,891158.79,2022,2/20/22,Sun
21,2,Clothing Stores,843934.19,2022,2/21/22,Mon
22,2,Clothing Stores,1515480.9,2022,2/22/22,Tue
23,2,Clothing Stores,949238.96,2022,2/23/22,Wed
24,2,Clothing Stores,977187.29,2022,2/24/22,Thu
25,2,Clothing Stores,1187894.97,2022,2/25/22,Fri
26,2,Clothing Stores,997965.65,2022,2/26/22,Sat
27,2,Clothing Stores,918471.48,2022,2/27/22,Sun
28,2,Clothing Stores,1530052.8,2022,2/28/22,Mon
1,3,Clothing Stores,1032833.14,2022,3/1/22,Tue
2,3,Clothing Stores,1036942.03,2022,3/2/22,Wed
3,3,Clothing Stores,1099342.99,2022,3/3/22,Thu
4,3,Clothing Stores,1257777.02,2022,3/4/22,Fri
5,3,Clothing Stores,1064259.83,2022,3/5/22,Sat
6,3,Clothing Stores,967383.38,2022,3/6/22,Sun
7,3,Clothing Stores,1556789.72,2022,3/7/22,Mon
8,3,Clothing Stores,1027805.23,2022,3/8/22,Tue
9,3,Clothing Stores,1027833.4,2022,3/9/22,Wed
10,3,Clothing Stores,1106688.63,2022,3/10/22,Thu
11,3,Clothing Stores,1245209.78,2022,3/11/22,Fri
12,3,Clothing Stores,1008348.81,2022,3/12/22,Sat
13,3,Clothing Stores,975276.13,2022,3/13/22,Sun
14,3,Clothing Stores,1549651.37,2022,3/14/22,Mon
15,3,Clothing Stores,1125296.74,2022,3/15/22,Tue
16,3,Clothing Stores,1142801.37,2022,3/16/22,Wed
17,3,Clothing Stores,1176563.18,2022,3/17/22,Thu
18,3,Clothing Stores,1293099.92,2022,3/18/22,Fri
19,3,Clothing Stores,1139592.62,2022,3/19/22,Sat
20,3,Clothing Stores,957455.32,2022,3/20/22,Sun
21,3,Clothing Stores,1550472.07,2022,3/21/22,Mon
22,3,Clothing Stores,1086552.14,2022,3/22/22,Tue
23,3,Clothing Stores,1086828.65,2022,3/23/22,Wed
24,3,Clothing Stores,1162065.59,2022,3/24/22,Thu
25,3,Clothing Stores,1299993.44,2022,3/25/22,Fri
26,3,Clothing Stores,1130111.26,2022,3/26/22,Sat
27,3,Clothing Stores,938451.14,2022,3/27/22,Sun
28,3,Clothing Stores,1594181.67,2022,3/28/22,Mon
29,3,Clothing Stores,1061076.95,2022,3/29/22,Tue
30,3,Clothing Stores,1085690.1,2022,3/30/22,Wed
31,3,Clothing Stores,1179666.6,2022,3/31/22,Thu
1,2,Department Stores,404043.7,2022,2/1/22,Tue
2,2,Department Stores,401279.82,2022,2/2/22,Wed
3,2,Department Stores,399580.44,2022,2/3/22,Thu
4,2,Department Stores,406322.84,2022,2/4/22,Fri
5,2,Department Stores,411608.87,2022,2/5/22,Sat
6,2,Department Stores,398522.02,2022,2/6/22,Sun
7,2,Department Stores,442595.46,2022,2/7/22,Mon
8,2,Department Stores,412783.94,2022,2/8/22,Tue
9,2,Department Stores,418799.16,2022,2/9/22,Wed
10,2,Department Stores,420531.95,2022,2/10/22,Thu
11,2,Department Stores,422587.91,2022,2/11/22,Fri
12,2,Department Stores,446887.24,2022,2/12/22,Sat
13,2,Department Stores,410486.09,2022,2/13/22,Sun
14,2,Department Stores,462951.66,2022,2/14/22,Mon
15,2,Department Stores,435766.2,2022,2/15/22,Tue
16,2,Department Stores,406619.89,2022,2/16/22,Wed
17,2,Department Stores,422381.06,2022,2/17/22,Thu
18,2,Department Stores,435814.42,2022,2/18/22,Fri
19,2,Department Stores,436408.01,2022,2/19/22,Sat
20,2,Department Stores,434874.24,2022,2/20/22,Sun
21,2,Department Stores,431852.66,2022,2/21/22,Mon
22,2,Department Stores,470127.97,2022,2/22/22,Tue
23,2,Department Stores,437635.59,2022,2/23/22,Wed
24,2,Department Stores,436673.27,2022,2/24/22,Thu
25,2,Department Stores,466705.62,2022,2/25/22,Fri
26,2,Department Stores,443329.83,2022,2/26/22,Sat
27,2,Department Stores,436475.98,2022,2/27/22,Sun
28,2,Department Stores,487217.8,2022,2/28/22,Mon
1,3,Department Stores,433160.66,2022,3/1/22,Tue
2,3,Department Stores,443266.34,2022,3/2/22,Wed
3,3,Department Stores,449423.6,2022,3/3/22,Thu
4,3,Department Stores,457894.79,2022,3/4/22,Fri
5,3,Department Stores,465393.73,2022,3/5/22,Sat
6,3,Department Stores,459740.67,2022,3/6/22,Sun
7,3,Department Stores,488453.58,2022,3/7/22,Mon
8,3,Department Stores,444303.21,2022,3/8/22,Tue
9,3,Department Stores,472507.31,2022,3/9/22,Wed
10,3,Department Stores,452073.13,2022,3/10/22,Thu
11,3,Department Stores,466573.23,2022,3/11/22,Fri
12,3,Department Stores,440265.82,2022,3/12/22,Sat
13,3,Department Stores,437327.14,2022,3/13/22,Sun
14,3,Department Stores,482219.64,2022,3/14/22,Mon
15,3,Department Stores,435066.4,2022,3/15/22,Tue
16,3,Department Stores,446285.15,2022,3/16/22,Wed
17,3,Department Stores,449773.51,2022,3/17/22,Thu
18,3,Department Stores,497021,2022,3/18/22,Fri
19,3,Department Stores,459915.81,2022,3/19/22,Sat
20,3,Department Stores,440132.16,2022,3/20/22,Sun
21,3,Department Stores,498398.17,2022,3/21/22,Mon
22,3,Department Stores,450478.61,2022,3/22/22,Tue
23,3,Department Stores,449230.57,2022,3/23/22,Wed
24,3,Department Stores,441797.59,2022,3/24/22,Thu
25,3,Department Stores,448435.47,2022,3/25/22,Fri
26,3,Department Stores,467617.19,2022,3/26/22,Sat
27,3,Department Stores,437875.31,2022,3/27/22,Sun
28,3,Department Stores,478598.06,2022,3/28/22,Mon
29,3,Department Stores,437708.98,2022,3/29/22,Tue
30,3,Department Stores,454705.16,2022,3/30/22,Wed
31,3,Department Stores,444736.91,2022,3/31/22,Thu
1,2,Gasoline Stations,921170.15,2022,2/1/22,Tue
2,2,Gasoline Stations,914943.89,2022,2/2/22,Wed
3,2,Gasoline Stations,905447.02,2022,2/3/22,Thu
4,2,Gasoline Stations,916396.54,2022,2/4/22,Fri
5,2,Gasoline Stations,748920.14,2022,2/5/22,Sat
6,2,Gasoline Stations,786236.74,2022,2/6/22,Sun
7,2,Gasoline Stations,974784.73,2022,2/7/22,Mon
8,2,Gasoline Stations,899926.11,2022,2/8/22,Tue
9,2,Gasoline Stations,913182.84,2022,2/9/22,Wed
10,2,Gasoline Stations,915030.63,2022,2/10/22,Thu
11,2,Gasoline Stations,952565.08,2022,2/11/22,Fri
12,2,Gasoline Stations,802515.99,2022,2/12/22,Sat
13,2,Gasoline Stations,801709.14,2022,2/13/22,Sun
14,2,Gasoline Stations,997062.47,2022,2/14/22,Mon
15,2,Gasoline Stations,938033.3,2022,2/15/22,Tue
16,2,Gasoline Stations,954432.57,2022,2/16/22,Wed
17,2,Gasoline Stations,939670.5,2022,2/17/22,Thu
18,2,Gasoline Stations,978251.15,2022,2/18/22,Fri
19,2,Gasoline Stations,812651.85,2022,2/19/22,Sat
20,2,Gasoline Stations,839269.71,2022,2/20/22,Sun
21,2,Gasoline Stations,853736.65,2022,2/21/22,Mon
22,2,Gasoline Stations,1009741.63,2022,2/22/22,Tue
23,2,Gasoline Stations,929142.36,2022,2/23/22,Wed
24,2,Gasoline Stations,968345.47,2022,2/24/22,Thu
25,2,Gasoline Stations,990370.35,2022,2/25/22,Fri
26,2,Gasoline Stations,837277.07,2022,2/26/22,Sat
27,2,Gasoline Stations,844182.87,2022,2/27/22,Sun
28,2,Gasoline Stations,1034789.99,2022,2/28/22,Mon
1,3,Gasoline Stations,937732.79,2022,3/1/22,Tue
2,3,Gasoline Stations,947312.98,2022,3/2/22,Wed
3,3,Gasoline Stations,972081.37,2022,3/3/22,Thu
4,3,Gasoline Stations,1027734.36,2022,3/4/22,Fri
5,3,Gasoline Stations,889491.65,2022,3/5/22,Sat
6,3,Gasoline Stations,916052.81,2022,3/6/22,Sun
7,3,Gasoline Stations,1088830.52,2022,3/7/22,Mon
8,3,Gasoline Stations,1032718.35,2022,3/8/22,Tue
9,3,Gasoline Stations,1045802.69,2022,3/9/22,Wed
10,3,Gasoline Stations,1051271.15,2022,3/10/22,Thu
11,3,Gasoline Stations,1075509.86,2022,3/11/22,Fri
12,3,Gasoline Stations,892162.41,2022,3/12/22,Sat
13,3,Gasoline Stations,935013.6,2022,3/13/22,Sun
14,3,Gasoline Stations,1113905.79,2022,3/14/22,Mon
15,3,Gasoline Stations,1013200.82,2022,3/15/22,Tue
16,3,Gasoline Stations,1013429.13,2022,3/16/22,Wed
17,3,Gasoline Stations,1028032.61,2022,3/17/22,Thu
18,3,Gasoline Stations,1063023.58,2022,3/18/22,Fri
19,3,Gasoline Stations,911737.21,2022,3/19/22,Sat
20,3,Gasoline Stations,940953.01,2022,3/20/22,Sun
21,3,Gasoline Stations,1104008.26,2022,3/21/22,Mon
22,3,Gasoline Stations,1009301.06,2022,3/22/22,Tue
23,3,Gasoline Stations,1010273.42,2022,3/23/22,Wed
24,3,Gasoline Stations,1027766.56,2022,3/24/22,Thu
25,3,Gasoline Stations,1066701.08,2022,3/25/22,Fri
26,3,Gasoline Stations,917968.77,2022,3/26/22,Sat
27,3,Gasoline Stations,944182.08,2022,3/27/22,Sun
28,3,Gasoline Stations,1103360.99,2022,3/28/22,Mon
29,3,Gasoline Stations,1042576.31,2022,3/29/22,Tue
30,3,Gasoline Stations,1015530.68,2022,3/30/22,Wed
31,3,Gasoline Stations,1035669.03,2022,3/31/22,Thu
1,2,General Merchandise Stores including Warehouse Clubs and Supercenters,732492.28,2022,2/1/22,Tue
2,2,General Merchandise Stores including Warehouse Clubs and Supercenters,743361.51,2022,2/2/22,Wed
3,2,General Merchandise Stores including Warehouse Clubs and Supercenters,707713.83,2022,2/3/22,Thu
4,2,General Merchandise Stores including Warehouse Clubs and Supercenters,743017.64,2022,2/4/22,Fri
5,2,General Merchandise Stores including Warehouse Clubs and Supercenters,612851.15,2022,2/5/22,Sat
6,2,General Merchandise Stores including Warehouse Clubs and Supercenters,611513.19,2022,2/6/22,Sun
7,2,General Merchandise Stores including Warehouse Clubs and Supercenters,827171.16,2022,2/7/22,Mon
8,2,General Merchandise Stores including Warehouse Clubs and Supercenters,700283.94,2022,2/8/22,Tue
9,2,General Merchandise Stores including Warehouse Clubs and Supercenters,687868.76,2022,2/9/22,Wed
10,2,General Merchandise Stores including Warehouse Clubs and Supercenters,703896.02,2022,2/10/22,Thu
11,2,General Merchandise Stores including Warehouse Clubs and Supercenters,746934.44,2022,2/11/22,Fri
12,2,General Merchandise Stores including Warehouse Clubs and Supercenters,634080.44,2022,2/12/22,Sat
13,2,General Merchandise Stores including Warehouse Clubs and Supercenters,625007.01,2022,2/13/22,Sun
14,2,General Merchandise Stores including Warehouse Clubs and Supercenters,796841.87,2022,2/14/22,Mon
15,2,General Merchandise Stores including Warehouse Clubs and Supercenters,671478.78,2022,2/15/22,Tue
16,2,General Merchandise Stores including Warehouse Clubs and Supercenters,679192.69,2022,2/16/22,Wed
17,2,General Merchandise Stores including Warehouse Clubs and Supercenters,695239.29,2022,2/17/22,Thu
18,2,General Merchandise Stores including Warehouse Clubs and Supercenters,736922.76,2022,2/18/22,Fri
19,2,General Merchandise Stores including Warehouse Clubs and Supercenters,616928.19,2022,2/19/22,Sat
20,2,General Merchandise Stores including Warehouse Clubs and Supercenters,621304.94,2022,2/20/22,Sun
21,2,General Merchandise Stores including Warehouse Clubs and Supercenters,571769.82,2022,2/21/22,Mon
22,2,General Merchandise Stores including Warehouse Clubs and Supercenters,810592.03,2022,2/22/22,Tue
23,2,General Merchandise Stores including Warehouse Clubs and Supercenters,683362.71,2022,2/23/22,Wed
24,2,General Merchandise Stores including Warehouse Clubs and Supercenters,723880.24,2022,2/24/22,Thu
25,2,General Merchandise Stores including Warehouse Clubs and Supercenters,772231.03,2022,2/25/22,Fri
26,2,General Merchandise Stores including Warehouse Clubs and Supercenters,642243.99,2022,2/26/22,Sat
27,2,General Merchandise Stores including Warehouse Clubs and Supercenters,622181.53,2022,2/27/22,Sun
28,2,General Merchandise Stores including Warehouse Clubs and Supercenters,849192.61,2022,2/28/22,Mon
1,3,General Merchandise Stores including Warehouse Clubs and Supercenters,724338.23,2022,3/1/22,Tue
2,3,General Merchandise Stores including Warehouse Clubs and Supercenters,732083.64,2022,3/2/22,Wed
3,3,General Merchandise Stores including Warehouse Clubs and Supercenters,739114.9,2022,3/3/22,Thu
4,3,General Merchandise Stores including Warehouse Clubs and Supercenters,778157.29,2022,3/4/22,Fri
