day,month,top_category,spending,year,date_smart,wday
1,2,Clothing Stores,2936444.34,2022,2/1/22,Tue
2,2,Clothing Stores,2777297,2022,2/2/22,Wed
3,2,Clothing Stores,2721017.56,2022,2/3/22,Thu
4,2,Clothing Stores,3858669.71,2022,2/4/22,Fri
5,2,Clothing Stores,2625184.71,2022,2/5/22,Sat
6,2,Clothing Stores,2224737.13,2022,2/6/22,Sun
7,2,Clothing Stores,11938726.02,2022,2/7/22,Mon
8,2,Clothing Stores,3232882.13,2022,2/8/22,Tue
9,2,Clothing Stores,3297337.2,2022,2/9/22,Wed
10,2,Clothing Stores,3771131.99,2022,2/10/22,Thu
11,2,Clothing Stores,5536965.23,2022,2/11/22,Fri
12,2,Clothing Stores,2957795.7,2022,2/12/22,Sat
13,2,Clothing Stores,2194425.03,2022,2/13/22,Sun
14,2,Clothing Stores,13544302.12,2022,2/14/22,Mon
15,2,Clothing Stores,3557554.05,2022,2/15/22,Tue
16,2,Clothing Stores,3419006.89,2022,2/16/22,Wed
17,2,Clothing Stores,3770960.03,2022,2/17/22,Thu
18,2,Clothing Stores,5871657.47,2022,2/18/22,Fri
19,2,Clothing Stores,3114868.58,2022,2/19/22,Sat
20,2,Clothing Stores,2631093.36,2022,2/20/22,Sun
21,2,Clothing Stores,2211259.77,2022,2/21/22,Mon
22,2,Clothing Stores,17150446.75,2022,2/22/22,Tue
23,2,Clothing Stores,3419512.05,2022,2/23/22,Wed
24,2,Clothing Stores,3892342.23,2022,2/24/22,Thu
25,2,Clothing Stores,5743512.12,2022,2/25/22,Fri
26,2,Clothing Stores,3132945.76,2022,2/26/22,Sat
27,2,Clothing Stores,2795664.49,2022,2/27/22,Sun
28,2,Clothing Stores,15483006.8,2022,2/28/22,Mon
1,3,Clothing Stores,3908171.92,2022,3/1/22,Tue
2,3,Clothing Stores,4119681.53,2022,3/2/22,Wed
3,3,Clothing Stores,4555294.93,2022,3/3/22,Thu
4,3,Clothing Stores,6477731.39,2022,3/4/22,Fri
5,3,Clothing Stores,3253353.26,2022,3/5/22,Sat
6,3,Clothing Stores,2818585.39,2022,3/6/22,Sun
7,3,Clothing Stores,15934119.52,2022,3/7/22,Mon
8,3,Clothing Stores,3964140.98,2022,3/8/22,Tue
9,3,Clothing Stores,4011763.65,2022,3/9/22,Wed
10,3,Clothing Stores,4496792.33,2022,3/10/22,Thu
11,3,Clothing Stores,6280453.67,2022,3/11/22,Fri
12,3,Clothing Stores,3074667.62,2022,3/12/22,Sat
